ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
83,University of Pennsylvania,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg,5,Private,Philadelphia,23000,1740,12158985000,info@admissions.upenn.edu,upenn.edu,"business, finance, nursing, law","University of Pennsylvania was founded in 1740 and they are popular for business, finance, nursing and law.",True,True,True,True,True,True,True,True,False,True
84,University of Pittsburgh,https://www.topuniversities.com/sites/default/files/university-of-pittsburgh_500_small.jpg,48,Public,Pittsburgh,28000,1787,14126244141,admissions@pitt.edu,pitt.edu,"medicine, engineering, business, philosophy","University of Pittsburgh was founded in 1787 and they are popular for medicine, engineering, business and philosophy.",False,True,True,True,True,True,True,True,False,True
85,University of Rochester,https://www.topuniversities.com/sites/default/files/university-of-rochester_592560cf2aeae70239af4c96_small.jpg,43,Private,Rochester,11000,1850,15852752121,admit@admissions.rochester.edu,rochester.edu,"optics, music, business, medicine","University of Rochester was founded in 1850 and they are popular for optics, music, business and medicine.",False,True,True,True,True,True,True,True,False,True
86,University of South Carolina,https://www.topuniversities.com/sites/default/files/university-of-south-carolina_539_small.jpg,86,Public,Columbia,32000,1801,18037777000,admissions-ugrad@sc.edu,sc.edu,"business, hospitality management, engineering, journalism","University of South Carolina was founded in 1801 and they are popular for business, hospitality management, engineering and journalism.",False,True,True,True,True,True,True,True,True,True
87,University of South Florida,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-90-48x48.jpg,87,Public,Tampa,41000,1956,18139742011,admissions@usf.edu,usf.edu,"medicine, business, engineering, marine science","University of South Florida was founded in 1956 and they are popular for medicine, business, engineering and marine science.",False,True,True,True,True,True,True,True,False,True
88,University of Southern California,https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_small.jpg,29,Private,Los Angeles,43000,1880,12137402311,admit@usc.edu,usc.edu,"film, business, engineering, communications","University of Southern California was founded in 1880 and they are popular for film, business, engineering and communications.",True,True,True,True,True,True,True,True,True,True
89,University of Texas at Austin,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg,19,Public,Austin,51000,1883,15124713434,admissions@utexas.edu,utexas.edu,"engineering, business, computer science, petroleum engineering","University of Texas at Austin was founded in 1883 and they are popular for engineering, business, computer science and petroleum engineering.",False,True,True,True,True,True,True,True,False,True
90,University of Texas at Dallas,https://www.topuniversities.com/sites/default/files/university-of-texas-dallas_592560cf2aeae70239af5355_small.jpg,83,Public,Richardson,30000,1969,19728832111,interest@utdallas.edu,utdallas.edu,"computer science, business, engineering, neuroscience","University of Texas at Dallas was founded in 1969 and they are popular for computer science, business, engineering and neuroscience.",False,True,True,True,True,True,True,True,False,True
91,University of Utah,https://www.topuniversities.com/sites/default/files/university-of-utah_645_small.jpg,77,Public,Salt Lake City,31000,1850,18015817200,admissions@utah.edu,utah.edu,"medicine, business, engineering, film studies","University of Utah was founded in 1850 and they are popular for medicine, business, engineering and film studies.",False,True,True,True,True,True,True,True,False,True
92,University of Virginia,https://www.topuniversities.com/sites/default/files/university-of-virginia_656_small.jpg,50,Public,Charlottesville,25000,1819,14349240311,undergradadmission@virginia.edu,virginia.edu,"business, law, engineering, economics","University of Virginia was founded in 1819 and they are popular for business, law, engineering and economics.",False,True,True,True,True,True,True,True,True,True
93,University of Washington,https://www.topuniversities.com/sites/default/files/240709093150am256263W-Logo-Purple-RGB-resized-48x48.jpg,22,Public,Seattle,46000,1861,12065432100,uwadmiss@uw.edu,washington.edu,"computer science, medicine, engineering, business","University of Washington was founded in 1861 and they are popular for computer science, medicine, engineering and business.",False,True,True,True,True,True,True,True,False,True
94,University of Wisconsin-Madison,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,28,Public,Madison,46000,1848,16082632400,onwisconsin@admissions.wisc.edu,wisc.edu,"business, engineering, political science, dairy science","University of Wisconsin-Madison was founded in 1848 and they are popular for business, engineering, political science and dairy science.",False,True,True,True,True,True,True,True,False,True
95,Vanderbilt University,https://www.topuniversities.com/sites/default/files/vanderbilt-university_649_small.jpg,45,Private,Nashville,13000,1873,16153222561,admissions@vanderbilt.edu,vanderbilt.edu,"medicine, law, business, education","Vanderbilt University was founded in 1873 and they are popular for medicine, law, business and education.",False,True,True,True,True,True,True,True,False,True
96,Virginia Polytechnic Institute and State University,https://www.topuniversities.com/sites/default/files/virginia-polytechnic-institute-and-state-university_592560cf2aeae70239af4d15_small.jpg,61,Public,Blacksburg,37000,1872,15402316267,admissions@vt.edu,vt.edu,"engineering, architecture, business, computer science","Virginia Polytechnic Institute and State University was founded in 1872 and they are popular for engineering, architecture, business and computer science.",False,True,True,True,True,True,True,True,False,True
97,Washington State University,https://www.topuniversities.com/sites/default/files/washington-state-university_666_small.jpg,69,Public,Pullman,25000,1890,15093353564,admissions@wsu.edu,wsu.edu,"veterinary medicine, business, engineering, agriculture","Washington State University was founded in 1890 and they are popular for veterinary medicine, business, engineering and agriculture.",False,True,True,True,True,True,True,True,False,True
98,Washington University in St. Louis,https://www.topuniversities.com/sites/default/files/washington-university-in-st.-louis_668_small.jpg,35,Private,St. Louis,16000,1853,13149355000,admissions@wustl.edu,wustl.edu,"medicine, business, engineering, social work","Washington University in St. Louis was founded in 1853 and they are popular for medicine, business, engineering and social work.",False,True,True,True,True,True,True,True,False,True
99,Yale University,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg,10,Private,New Haven,15000,1701,12034324771,undergraduate.admissions@yale.edu,yale.edu,"law, political science, history, economics","Yale University was founded in 1701 and they are popular for law, political science, history and economics.",False,True,True,True,True,True,True,True,False,True
100,Yeshiva University,https://www.topuniversities.com/sites/default/files/the-katz-school-at-yeshiva-university_685_small.jpg,64,Private,New York City,5000,1886,12129605400,admissions@yu.edu,yu.edu,"medicine, jewish studies, psychology, business","Yeshiva University was founded in 1886 and they are popular for medicine, jewish studies, psychology and business.",False,True,True,True,True,True,True,True,False,True
