ID,University,Logo,Rank,Type,Location,Student,Year,Contact,Email,Website,Strength,Description,agricultural_food_science,arts_design,economics_business_management,engineering,law_political_science,medicine_pharmacy_health_sciences,physical_science,social_sciences_humanities,sports_physical_education,technology
73,Savitribai Phule Pune University,https://upload.wikimedia.org/wikipedia/en/f/f6/Savitribai_Phule_Pune_University_Logo.png,23,Public,Maharashtra,60000,1949,912025621118,regis@unipune.ac.in,unipune.ac.in,"Economics, Political Science, Astronomy, IT","Located in Pune, it offers diverse programs and is known for its research initiatives.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
74,Shanmugha Arts Science Technology and Research Academy,https://upload.wikimedia.org/wikipedia/en/0/0e/Shanmugha_Arts%2C_Science%2C_Technology_%26_Research_Academy.svg,28,Private,Tamil Nadu,13000,1984,914362264101,admissions@sastra.edu,sastra.edu,"IT, Space Tech, Medicine, Law","Established in Thanjavur, it offers programs in engineering, science, and arts.",Y,Y,Y,Y,N,Y,Y,Y,Y,Y
75,Sharda University,https://upload.wikimedia.org/wikipedia/en/1/16/Sharda_University_logo_no_wordmark.png,86,Private,Uttar Pradesh,17000,2009,911204570000,admissions@sharda.ac.in,sharda.ac.in,"IT, Business Analytics, Health Tech, Law","A private university in Greater Noida, Uttar Pradesh, offering a wide range of programs across various disciplines.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
76,Shiv Nadar University,https://snu.edu.in/site/templates/images/logo.svg,62,Private,Uttar Pradesh,4000,2011,911203819100,admissions@snu.edu.in,snu.edu.in,"IT, Robotics, Business Analytics, Health Tech","A private multidisciplinary research university in Greater Noida, established by HCL founder Shiv Nadar.",N,Y,Y,Y,N,N,Y,Y,N,Y
77,Shoolini University of Biotechnology and Management Sciences,https://www.facebook.com/photo/?fbid=426492696311588&set=a.426492679644923,70,Private,Himachal Pradesh,4000,2009,911976250000,info@shooliniuniversity.com,shooliniuniversity.com,"IT, Biotechnology, Health Tech, Business Analytics","A private research-oriented university in Himachal Pradesh, known for its green campus and emphasis on biotechnology.",Y,Y,Y,Y,N,Y,Y,Y,Y,Y
78,Siksha `O` Anusandhan,https://upload.wikimedia.org/wikipedia/en/c/c5/Siksha_%E2%80%98O%E2%80%99_Anusandhan.png,14,Private,Odisha,15000,1996,916742350000,info@soa.ac.in,soa.ac.in,"Medicine, Biotechnology, Engineering, Law","A private deemed university in Bhubaneswar, Odisha, offering a wide range of programs with a focus on research and innovation.",Y,N,Y,Y,N,Y,Y,N,Y,Y
79,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College,https://mgmcri.ac.in/wp-content/uploads/2019/08/sbvlogo-comp-271x300.png,68,Private,Pondicherry,1000,2001,914132618000,info@sbvu.ac.in,mgmcri.ac.in,"Medicine, Health Tech, IT, Nursing","A medical college in Puducherry, offering undergraduate and postgraduate medical education.",N,N,N,N,N,Y,N,N,N,N
80,Sri Ramachandra Institute of Higher Education and Research,https://www.sriramachandra.edu.in/university/images/nw-images/new-sriher-logo.png,55,Private,Tamil Nadu,6000,1985,914424767001,info@sriramachandra.edu.in,sriramachandra.edu.in,"Medicine, Health Tech, IT, Biotechnology","A private deemed university in Chennai, specializing in health sciences and medical education.",N,N,Y,Y,N,Y,Y,N,N,Y
81,Sri Venkateswara University,https://svuniversity.edu.in/storage/2021/11/SV-logo.png,87,Public,Andhra Pradesh,5000,1954,918772249700,registrar@svuniversity.ac.in,svuniversity.edu.in,"IT, Economics, Political Science, Law","A public state university in Tirupati, Andhra Pradesh, offering diverse programs and research opportunities.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
82,SVKM's Narsee Monjee Institute of Management Studies,https://upload.wikimedia.org/wikipedia/en/e/ec/Narsee_Monjee_Institute_of_Management_Studies_Logo.png,49,Private,Maharashtra,17000,1981,912242355555,admissions@nmims.edu,nmims.edu,"Business Analytics, Economics, IT, Law","A private deemed university in Mumbai, offering programs in management, engineering, law, and other disciplines.",N,N,Y,N,Y,N,N,Y,N,Y
83,Symbiosis International University,https://upload.wikimedia.org/wikipedia/en/2/2a/Logo_of_Symbiosis_International_University.svg,31,Private,Maharashtra,23000,1971,912061934500,admissions@symbiosis.ac.in,siu.edu.in,"Business Analytics, Law, Economics, IT","Established as an international cultural and educational center, it offers diverse programs across multiple campuses.",N,Y,Y,N,Y,Y,N,Y,N,Y
84,Tamil Nadu Agricultural University,https://upload.wikimedia.org/wikipedia/en/9/94/Tamil_Nadu_Agricultural_University_Logo.gif,84,Public,Tamil Nadu,7000,1971,914226611200,registrar@tnau.ac.in,tnau.ac.in,"Agriculture, IT, Biotechnology, Food Science","A state agricultural university in Coimbatore, Tamil Nadu, offering programs in agriculture and related fields.",Y,N,Y,N,N,N,Y,N,N,N
85,Tata Institute of Social Sciences,https://upload.wikimedia.org/wikipedia/en/b/bf/Tata_Institute_of_Social_Sciences_Logo.svg,58,Public,Maharashtra,4000,1936,912225525000,dean.admissions@tiss.edu,tiss.edu,"Social Work, Economics, IT, Political Science","Asia's oldest institute for professional social work education, located in Mumbai.",N,N,Y,N,Y,N,N,Y,N,N
86,Tezpur University,https://upload.wikimedia.org/wikipedia/as/c/c8/Tezpur_University_logo.png,69,Public,Assam,5000,1994,913712277001,registrar@tezu.ernet.in,tezu.ac.in,"IT, Social Sciences, Law, Political Science","A central university in Assam, offering interdisciplinary courses with a focus on regional development.",Y,Y,Y,Y,Y,N,Y,Y,Y,Y
87,Thapar Institute of Engineering and Technology,https://scontent.fdad1-4.fna.fbcdn.net/v/t39.30808-6/464923851_8336031936495065_8618513628620415409_n.png?_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=5pHo116XjU8Q7kNvwHe54wS&_nc_oc=Adk5ElpbfRf68-zsUEHKyM6_vHr1hZ41lrSRU-5MTHVftVbfQQLs_AX2cRY4G1k9byc&_nc_zt=23&_nc_ht=scontent.fdad1-4.fna&_nc_gid=CL-KbmNGkBsrZymwIeuRbg&oh=00_AfJZw5Cliv7bLtPIDoTkgNjxcCe485oMAZwhypblpoJSXA&oe=68321AE2,29,Private,Punjab,11000,1956,911752393021,admissions@thapar.edu,thapar.edu,"IT, Cybersecurity, Robotics, Business Analytics","Located in Patiala, it is known for its engineering and technology programs.",N,N,Y,Y,N,N,Y,N,N,Y
88,University of Agricultural Sciences,https://www.uasbangalore.edu.in/wp-content/uploads/2022/05/uas-logo1.png,90,Public,Karnataka,18000,1964,918023330153,registrar@uasbangalore.edu.in,uasbangalore.edu.in,"Agriculture, IT, Biotechnology, Food Science","A public university in Karnataka, specializing in agricultural sciences and research.",Y,N,Y,N,N,N,Y,N,N,N
89,University of Delhi,https://upload.wikimedia.org/wikipedia/commons/6/62/Delhi_University%27s_official_logo.png,6,Public,Delhi,627000,1922,911127666691,registrar@du.ac.in,du.ac.in,"Economics, Law, Political Science, Medicine, Humanities","A central university in Delhi, renowned for its diverse academic offerings and vibrant campus life.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
90,University of Hyderabad,http://upload.wikimedia.org/wikipedia/en/9/9e/University_of_Hyderabad_Logo.png,17,Public,Telangana,6000,1974,914023130000,registrar@uohyd.ac.in,uohyd.ac.in,"IT, Biotechnology, Economics, Political Science","A central university in Hyderabad, offering postgraduate and research programs with a strong emphasis on interdisciplinary studies.",Y,Y,Y,Y,Y,N,Y,Y,N,Y
91,University of Jammu,https://upload.wikimedia.org/wikipedia/en/3/3b/University_of_Jammu_logo.png,50,Public,Jammu and Kashmir,4000,1969,911912435248,helpdesk@jammuuniversity.ac.in,jammuuniversity.ac.in,"Social Sciences, Law, Political Science, IT","Established after the bifurcation of the University of Jammu and Kashmir, it offers a wide range of programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
92,University of Kashmir,https://upload.wikimedia.org/wikipedia/en/6/6f/University_of_Kashmir_logo.png,45,Public,Jammu and Kashmir,9000,1948,911942272001,registrar@kashmiruniversity.ac.in,kashmiruniversity.ac.in,"Social Sciences, Law, Political Science, IT","Located in Srinagar, Jammu & Kashmir, it offers a variety of programs and is known for its picturesque campus.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
93,University of Lucknow,https://upload.wikimedia.org/wikipedia/en/f/f9/Logolkouniv.jpg,97,Public,Uttar Pradesh,16000,1921,915222740086,registrar@lkouniv.ac.in,lkouniv.ac.in,"Economics, Political Science, IT, Law 8","A public university in Lucknow, Uttar Pradesh, offering a wide range of undergraduate and postgraduate programs.",Y,Y,Y,Y,Y,Y,Y,Y,Y,N
94,University of Madras,https://upload.wikimedia.org/wikipedia/en/2/2e/Madras_University_Seal.svg,39,Public,Tamil Nadu,54000,1857,914425399422,registrar@unom.ac.in,unom.ac.in,"Economics, Political Science, IT, Law","One of India's oldest universities, located in Chennai, offering extensive programs across various disciplines.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
95,UPES,https://research.upes.ac.in/wp-content/uploads/2022/06/Logo-Icon.jpg,46,Private,Uttarakhand,14000,2003,911352770137,admissions@upes.ac.in,upes.ac.in,"Energy Studies, IT, Cybersecurity, Business Analytics","Based in Dehradun, Uttarakhand, UPES specializes in energy, petroleum, and core sector education.",N,N,Y,Y,Y,N,N,N,N,Y
96,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,https://www.veltech.edu.in/wp-content/uploads/2022/05/Logo-337x109.png,96,Private,Tamil Nadu,9000,2008,914426844000,info@veltech.edu.in,veltech.edu.in,"IT, Robotics, Space Tech, Business Analytics","A deemed university in Chennai, Tamil Nadu, offering engineering and technology programs.",N,Y,Y,Y,N,N,Y,Y,N,Y
97,Vellore Institute of Technology,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Vellore_Institute_of_Technology_seal_2017.svg/1200px-Vellore_Institute_of_Technology_seal_2017.svg.png,10,Private,Tamil Nadu,42000,1984,914162243091,ugadmission@vit.ac.in,vit.ac.in,"IT, Cybersecurity, Health Tech, Robotics","A private university in Vellore, offering a wide range of programs with a focus on engineering and technology.",N,Y,Y,Y,N,N,Y,Y,N,Y
98,"Vignan's Foundation for Science, Technology and Research",https://www.topuniversities.com/sites/default/files/profiles/logos/220204072652am269277VFSTR-Logo-200x200.jpg,72,Private,Andhra Pradesh,10000,1997,918662577711,admissions@vignan.ac.in,vignan.ac.in,"IT, Engineering, Business Analytics, Health Tech","A deemed university in Andhra Pradesh, known for engineering and management programs.",N,Y,Y,Y,N,N,Y,Y,N,Y
99,Visvesvaraya Technological University,https://upload.wikimedia.org/wikipedia/eNA/a0/Visvesvaraya_Technological_University_logo.png,75,Public,Karnataka,86000,1998,918362370724,registrar@vtu.ac.in,vtu.ac.in,"IT, Robotics, Cybersecurity, Business Analytics","A public technical university in Karnataka, overseeing engineering education in the state.",N,N,Y,Y,N,N,Y,N,N,Y
100,Yenepoya University,https://upload.wikimedia.org/wikipedia/en/7/7a/Yenepoya_University_logo.png,95,Private,Karnataka,15000,2008,918242204999,registrar@yenepoya.edu.in,yenepoya.edu.in,"Medicine, Health Tech, IT, Nursing","A deemed university in Mangaluru, Karnataka, offering programs in medical, dental, and allied health sciences.",N,N,Y,Y,N,Y,Y,N,N,Y
